codice_cliente,timestamp,nome,cognome,eta,indirizzo,citta,provincia,regione,latitudine,longitudine,churn_attuale,num_polizze_attuali,cluster_nba,cluster_risposta,satisfaction_score,engagement_score,clv_stimato,prodotti_posseduti,num_prodotti_posseduti,num_raccomandazioni,top_raccomandazione
CLI_9630,2026-01-18T12:16:33+00:00,Ignazio,Pigafetta,32,"Via Roma, 24",,,,42.460029,13.960215,0.0013,2,1,High_Responder,83.2,75,4234,"Polizza Salute e Infortuni: Salute Protetta, Piano Individuale Pensionistico (PIP): Pensione Serenità",2,3,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10125,2026-01-18T12:16:33+00:00,Giulia,Belletini,54,,Frattamaggiore,,,43.186149,11.926089,0.0014,1,3,Low_Responder,88.9,99,15710,Piano Individuale Pensionistico (PIP): Pensione Serenità,1,4,Polizza Salute e Infortuni: Salute Protetta
CLI_10035,2026-01-18T12:16:33+00:00,Ivan,Zacco,82,"Via Garibaldi, 87",,,,41.185232,10.934431,0.0161,0,5,High_Responder,70.3,81,5968,,0,5,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10777,2026-01-18T12:16:33+00:00,Giada,Andreotti,59,,Caronte,,,41.638334,13.707762,0.0068,2,6,Moderate_Responder,71.3,64,7445,"Polizza Salute e Infortuni: Salute Protetta, Assicurazione Casa e Famiglia: Casa Serena",2,3,Piano Individuale Pensionistico (PIP): Pensione Serenità
CLI_10292,2026-01-18T12:16:33+00:00,Vittoria,Mogherini,62,,Gattorna,,,44.429205,9.18421,0.0076,1,5,Low_Responder,84.8,72,3701,Assicurazione Casa e Famiglia: Casa Serena,1,4,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10260,2026-01-18T12:16:33+00:00,Licia,Turchetta,77,"Via Garibaldi, 104",,,,40.24107,13.737744,0.0146,0,6,Selective_Responder,84.2,59,4898,,0,5,Polizza Salute e Infortuni: Salute Protetta
CLI_10237,2026-01-18T12:16:33+00:00,Toni,Mortati,36,"Via Garibaldi, 83",,,,41.308133,12.670374,0.0055,1,3,Selective_Responder,73.4,68,13089,Polizza Salute e Infortuni: Salute Protetta,1,4,Assicurazione Casa e Famiglia: Casa Serena
CLI_10153,2026-01-18T12:16:33+00:00,Germana,Tarantino,62,,Roburent,,,44.306331,7.89224,0.0036,2,5,High_Responder,86.8,95,6637,"Assicurazione Casa e Famiglia: Casa Serena, Piano Individuale Pensionistico (PIP): Pensione Serenità",2,3,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10772,2026-01-18T12:16:33+00:00,Carlo,Contarini,38,,Reggio Calabria,,,38.114374,15.65023,0.0114,1,3,Low_Responder,88.6,52,3712,Assicurazione Casa e Famiglia: Casa Serena,1,4,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10113,2026-01-18T12:16:33+00:00,Severino,Fieramosca,33,"Via Mazzini, 124",,,,41.590378,11.096861,0.0045,1,1,Low_Responder,96.1,36,5918,Polizza Vita a Premi Ricorrenti: Risparmio Costante,1,4,Polizza Salute e Infortuni: Salute Protetta
CLI_10711,2026-01-18T12:16:33+00:00,Riccardo,Riccati,47,,Ginostra Di Lipari,,,38.78753,15.190131,0.0064,3,4,High_Responder,83.7,46,3346,"Polizza Salute e Infortuni: Salute Protetta, Assicurazione Casa e Famiglia: Casa Serena, Piano Individuale Pensionistico (PIP): Pensione Serenità",3,2,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10776,2026-01-18T12:16:33+00:00,Gianmarco,Salvemini,75,,Castelromano,,,41.618931,14.197055,0.0043,2,7,Selective_Responder,91.5,66,3472,"Assicurazione Casa e Famiglia: Casa Serena, Piano Individuale Pensionistico (PIP): Pensione Serenità",2,3,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10924,2026-01-18T12:16:33+00:00,Marco,Cortese,53,,Venezia,,,45.437191,12.33459,0.0028,2,3,Moderate_Responder,75.4,79,7966,"Polizza Salute e Infortuni: Salute Protetta, Assicurazione Casa e Famiglia: Casa Serena",2,3,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10574,2026-01-18T12:16:33+00:00,Ermanno,Poerio,88,,Massa Lubrense,,,40.610677,14.343277,0.0033,2,5,Low_Responder,82.6,75,9148,"Assicurazione Casa e Famiglia: Casa Serena, Piano Individuale Pensionistico (PIP): Pensione Serenità",2,3,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10098,2026-01-18T12:16:33+00:00,Silvia,Marcacci,29,"Via Roma, 191",,,,41.590589,17.340778,0.0023,1,2,Selective_Responder,82.6,61,15430,Polizza Salute e Infortuni: Salute Protetta,1,4,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10626,2026-01-18T12:16:33+00:00,Gloria,Beccaria,71,,Lido,,,41.954954,15.054279,0.003,2,5,Selective_Responder,80.2,85,7962,"Assicurazione Casa e Famiglia: Casa Serena, Piano Individuale Pensionistico (PIP): Pensione Serenità",2,3,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10445,2026-01-18T12:16:33+00:00,Antonietta,Respighi,54,"Via Garibaldi, 151",,,,40.396712,11.605977,0.0058,1,3,Selective_Responder,88.5,68,7686,Polizza Salute e Infortuni: Salute Protetta,1,4,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10042,2026-01-18T12:16:33+00:00,Fabia,Casellati,26,"Via Dante, 64",,,,43.778928,11.869606,0.0121,0,1,Low_Responder,87.9,44,639,,0,5,Polizza Salute e Infortuni: Salute Protetta
CLI_10040,2026-01-18T12:16:33+00:00,Carolina,Gargallo,62,"Via Mazzini, 170",,,,43.14538,10.357644,0.002,2,5,High_Responder,89.9,46,10350,"Polizza Salute e Infortuni: Salute Protetta, Piano Individuale Pensionistico (PIP): Pensione Serenità",2,3,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10104,2026-01-18T12:16:33+00:00,Rocco,Forza,63,"Via Dante, 88",,,,40.125127,18.672125,0.0029,1,5,Selective_Responder,74.4,100,20910,Piano Individuale Pensionistico (PIP): Pensione Serenità,1,4,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10232,2026-01-18T12:16:33+00:00,Panfilo,Montecchi,24,"Via Mazzini, 8",,,,43.997655,10.192848,0.0196,0,2,Low_Responder,81.9,35,3957,,0,5,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10247,2026-01-18T12:16:33+00:00,Benito,Cerquiglini,43,,Napoli,,,40.955249,14.436313,0.0017,2,3,High_Responder,75.4,100,7840,"Polizza Salute e Infortuni: Salute Protetta, Assicurazione Casa e Famiglia: Casa Serena",2,3,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10531,2026-01-18T12:16:33+00:00,Matilda,Fabrizi,60,,Brescia,,,45.536246,10.218828,0.0006,3,6,Selective_Responder,68.0,100,20348,"Polizza Salute e Infortuni: Salute Protetta, Assicurazione Casa e Famiglia: Casa Serena, Piano Individuale Pensionistico (PIP): Pensione Serenità",3,2,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_9628,2026-01-18T12:16:33+00:00,Simone,Tagliafierro,46,"Via Dante, 124",,,,43.744619,12.784119,0.0047,1,3,Low_Responder,71.0,98,15708,Polizza Vita a Premi Ricorrenti: Risparmio Costante,1,4,Polizza Salute e Infortuni: Salute Protetta
CLI_10037,2026-01-18T12:16:33+00:00,Liana,Cociarelli,58,"Via Garibaldi, 106",,,,41.339522,14.195873,0.0051,1,5,Moderate_Responder,88.4,56,20480,Polizza Salute e Infortuni: Salute Protetta,1,4,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10593,2026-01-18T12:16:33+00:00,Camillo,Zarlino,45,"Via Dante, 75",,,,45.835404,9.456065,0.0054,1,3,Low_Responder,90.6,59,4852,Piano Individuale Pensionistico (PIP): Pensione Serenità,1,4,Polizza Salute e Infortuni: Salute Protetta
CLI_10211,2026-01-18T12:16:33+00:00,Piergiorgio,Brenna,34,"Via Mazzini, 199",,,,40.166291,10.593373,0.0113,0,1,Selective_Responder,78.3,51,3974,,0,5,Polizza Salute e Infortuni: Salute Protetta
